OWLObjectPropertyImpl_4bf9eaca_1040_4861_8e69_2eb6cfe40e83,supervises
OWLObjectPropertyImpl_95cdd11f_2c25_48df_9f74_ca2878b7eac4,performProcessing
OWLObjectPropertyImpl_9679a244_6762_4da7_9aaa_c89f96e6f22c,exerciseRight
OWLObjectPropertyImpl_9d75d818_a66f_4e92_8400_6990cb686671,implements
OWLObjectProperty_077c98dc_e4f1_4fa4_82f1_4d5d6bac1a11,requiredByPublicInterest
OWLObjectProperty_1001ed7a_4f36_4975_8879_de174ef82e70,mustProvide
OWLObjectProperty_16ef80bb_336f_4678_b647_aa3ce5c02e49,appoints
OWLObjectProperty_1c8dcaa8_9f93_4cbb_9523_b4884a29a9b8,processingAppliesTo
OWLObjectProperty_217a5aab_f37f_4e80_868a_6d8b6f059fa4,hasPersonalData
OWLObjectProperty_26abc84c_8c4c_458c_8605_2ffbd1590d0d,requiredByVitalInterest
OWLObjectProperty_2a714588_010a_4833_ae08_09b32aa6295c,objectTo
OWLObjectProperty_332f288f_09e9_4743_bac9_6b65ac57f10e,accessData
OWLObjectProperty_33c92211_3b91_4b7c_8cfd_9165c3d7629c,issueFine
OWLObjectProperty_4233322f_cb80_4ee7_bed2_213d920c59c3,isObjected
OWLObjectProperty_43a932bd_d72f_4cd9_8aef_a2b60603224f,hasParties
OWLObjectProperty_4ae39feb_b852_4059_b66a_758628b01402,transferContent
OWLObjectProperty_50f8f0ef_9504_4ceb_b566_8fcb583ab045,requiredByObligation
OWLObjectProperty_570763f7_9a02_4787_bf15_dea159241d52,processingHasRequirement
OWLObjectProperty_6076aa11_7396_4b3b_815b_b83cab7df069,hasObligation
OWLObjectProperty_6eaca250_d77d_4df4_b978_8dcbb84e6a50,requiredByLegitimateInterest
OWLObjectProperty_72c09d42_4524_4808_95c4_0c9f280e3f98,usesProcessingMode
OWLObjectProperty_7ac248aa_2d24_4e6a_912a_6f9519c698c1,hasParent
OWLObjectProperty_86442676_0100_49b3_991c_504d7c89a49a,specialConsentAppliesTo
OWLObjectProperty_86608510_836e_4b41_a785_adb447d6ddd0,cooperateWith
OWLObjectProperty_8c1f0a3c_b12c_4025_9307_7de3b0086671,dataWasBreached
OWLObjectProperty_963fc55c_8a6d_48eb_a7b5_0d111603003a,hasRecipient
OWLObjectProperty_9886111f_f601_4189_81bd_41bc65f13d4c,hasVitalInterest
OWLObjectProperty_a13cf5b7_2210_434a_9dd1_fc46e2f85f5c,hasGrantedConsent
OWLObjectProperty_b4a56142_242b_44f5_80de_209a573b750e,hasLegitimateInterest
OWLObjectProperty_b8c0f954_156f_427f_80e3_0cd915a259e3,processOnBehalfOf
OWLObjectProperty_bcd48dd9_79f1_4a6c_98ba_fdd5748312dc,consentAppliesTo
OWLObjectProperty_c2d389de_7681_40df_b3e8_00982e1ae1f2,processingGrantsRight
OWLObjectProperty_c898c3d2_b288_427c_a535_32052cc6978e,notifyBreach
OWLObjectProperty_cb6a55ce_5777_4d29_b15d_6be3845259a3,requiredForContract
OWLObjectProperty_d279ae3c_1c63_4a0c_8f33_f6f347fb911a,requirementAppliesTo
OWLObjectProperty_d6b379ea_fc70_4e52_8990_4b2579886200,consentGrantedBy
OWLObjectProperty_e4459726_050d_4ba9_a9e7_56bff2354021,breachNotifiedTo
OWLObjectProperty_e9b85247_b390_4b60_9d03_627a9bcc0a7f,pertainsTo
OWLObjectProperty_ede6ce89_417f_48c1_a76e_4df8ff1ad55a,transferHasRequirement
OWLObjectProperty_f90cb5d0_29a1_41ef_a947_aa86cb69cc14,performAccess
OWLDataProperty_4644d2f7_3262_4cc1_84ff_06605a549316,dataName
OWLDataProperty_6fb5e412_2c48_4308_94b9_2b02c71b8004,dataSubjectId
OWLClassImpl_58cf8e1b_e912_4f83_bdbe_0214e093bd4c,Action
OWLClass_02b07422_386e_4a70_8c4a_c2534b513fb5,ContractualProcessing
OWLClass_059044e8_58f0_4cd8_8014_8c5babe12c7d,Profiling
OWLClass_06a52543_55ee_4037_8370_dd56a165fe70,TransferRule
OWLClass_080c5ed8_aa3c_4bfd_af54_dc6e2a546d8b,DataProcessing
OWLClass_0b2f9b8c_8e60_4b1a_9471_9ce55bf73ae4,VitalInterest
OWLClass_12ed2171_63ca_4d47_afcd_b6721ac351a9,NonEURecipient
OWLClass_12f8d2e4_932c_44b2_a152_7fb6fe4d7e7c,Access
OWLClass_15f536e2_2946_4aca_b996_2615e37e729a,Trust
OWLClass_1d2f3df4_e138_45ec_8434_0705d94b1c18,Erasure
OWLClass_1dcad2a0_486a_4f14_8b0e_1b9e521f738e,VitalProcessing
OWLClass_2023c585_fdec_4229_8951_24f6d4639634,Contract
OWLClass_21b029c0_43d8_4ee4_aa3f_c8b91b33974f,Relevancy
OWLClass_25b9b478_c602_4073_a790_6374ba384b42,ProcessingScope
OWLClass_27535d61_8d2c_4e2c_96bd_cabd05c9149a,Representative
OWLClass_28125d88_ca58_40fb_bedf_8b05cc85a4ec,OrganisationalMeasures
OWLClass_29c82d22_60ee_4d6c_a0a3_791432cc5481,ObligatedProcessing
OWLClass_2da92369_af57_4fc1_b84a_a35658cb88cf,RightToObject
OWLClass_301e1bec_ae1a_4601_9bea_a35fe79e4ea3,RequiredProcessing
OWLClass_31ba96e6_a8e7_4d61_9af2_25280e70bb8f,Security
OWLClass_336f5c83_c4cc_4889_8cbc_2c07562155a2,LawfulTransfer
OWLClass_37cc24cc_e8cc_4ac2_8594_7aa5cc97f129,Measures
OWLClass_38c37e49_92a4_4bbc_9780_9eed89158298,DataMinimization
OWLClass_3c5113eb_0923_4946_86cf_f5a83de7f9bb,Processor
OWLClass_3c993f72_4546_4509_b66b_425999f0118d,AppropriateSafeguards
OWLClass_411a42e7_c0a2_483e_b2ce_ebc85160fe33,TechnicalMeasures
OWLClass_413e4c1b_7d3b_4fc1_98c0_b782b533aae8,Controller
OWLClass_43574c52_adab_4ef9_807a_68f850c65a04,RightToRectification
OWLClass_48029399_9b67_4460_9eec_db9c7f55752c,Retention
OWLClass_49185c12_e790_4177_ba61_944b1fc3b8ce,Certification
OWLClass_4a286d0b_f129_4976_be2b_9c7ab71beb24,TransparentInformation
OWLClass_52a03e03_fa27_4f76_8af1_059dd1af4f90,PrivacyByDesign
OWLClass_573ba052_e830_419f_9c33_bee5251b8043,RightOfAccess
OWLClass_57b79a8d_ad1a_4ace_9892_affeb548ba0d,PublicInterestProcessing
OWLClass_583cd6c2_76ad_4b1c_b11b_60373af28e5b,CodeOfConduct
OWLClass_59851879_88be_4cf3_bd27_3b185fc2046a,Compliance
OWLClass_5a9540f3_9f42_46c1_9cff_227fa5323efb,ProcessingActivity
OWLClass_624c0561_eda6_4035_9f2a_47d4b8de3ee9,EURecipient
OWLClass_69062b9e_235e_4977_877f_0021effc2dfc,ParentConsent
OWLClass_6c46bd74_4881_488e_b461_603592bc3426,Principle
OWLClass_70533b01_01ad_4c16_92d7_d37ff183d561,BindingCorporateRules
OWLClass_75dd7417_421b_47d5_b6cd_daf3b328ca3b,ManualProcessing
OWLClass_771335d1_185e_465d_b779_165e6f384353,PrivacyByDefault
OWLClass_7bb468f6_ab61_4585_a9cb_522371c20b9d,Objection
OWLClass_7e0df94b_e1c3_4a97_b19d_d9320b921f84,Accountability
OWLClass_7ef6aaee_8d1b_4e22_bee2_f64f4332c477,LawfulnessRule
OWLClass_801beed0_2387_4a31_a5f1_6636c3558cb7,ChildDataSubject
OWLClass_83eaae05_ab01_4df1_b8ed_a203cfec5a08,Transparency
OWLClass_847950cb_b447_4f15_bb85_ed45f878d760,ProcessingMode
OWLClass_8fd1b241_6e73_4771_9cf7_4a995dd8311b,DataSubjectRight
OWLClass_91a1bac2_859c_446e_86c7_0f32f12470ac,Parent
OWLClass_931c3eee_c583_4adb_9af9_e0891ea43f2b,RightToErasure
OWLClass_99a373a5_bae0_4769_a675_7bf1a8467f00,Person
OWLClass_a2ccd29b_a341_4659_919a_977a6a81d4d1,Consent
OWLClass_a42fde83_5051_4cc3_b86c_b1981b6b6500,LegitimateInterest
OWLClass_a6bd38e0_dcde_48be_812b_8c785619187b,RightToInformation
OWLClass_af4ae221_0c41_4b82_8ff9_7561e9d9c6cd,Rule
OWLClass_b3ce5053_8b0c_41d5_81ba_36f3ccbd5642,DataProtectionOfficer
OWLClass_b491c951_2363_4eab_a32f_0fc922d48adc,Purpose
OWLClass_b628f28a_bd8c_471e_9c61_9548ff8cfd58,RightToNoProfiling
OWLClass_b841fd2e_162d_4f1a_8c2c_05dc948e63a0,DataQuality
OWLClass_b937960f_e255_4bcf_aff6_f362c905a8b8,LawfulnessPrinciple
OWLClass_ba7850fa_6664_4b14_91d4_b8307ae8481d,Justification
OWLClass_be0e1d3c_0330_4bd1_994f_919bb4962315,DataSubject
OWLClass_bf972a40_26a4_451a_b104_ea993da94716,Recipient
OWLClass_bfbcc9ac_862a_454f_8a67_a52f688d75ca,AdequacyDecision
OWLClass_c37e1def_c49d_4171_94ca_7d6912ef2acf,ConsensualProcessing
OWLClass_c544c98a_ea80_4638_94c2_47fe7985c5b9,DataBreach
OWLClass_c61c5125_09a3_46f0_9369_2288f8f41a1b,Documentation
OWLClass_c750844c_48fa_4fbd_8619_b8b9b1e967db,ProcessingRule
OWLClass_cd736f6b_2897_46b3_af1e_89e318585b0a,ImpactAssessment
OWLClass_d6d8fedc_ca29_4852_bc9d_fe4abf2707e0,Rectification
OWLClass_dd11ad3d_8e96_4fd6_9646_b1fa4799b296,SupervisoryAuthority
OWLClass_df7e7536_7235_4e30_b042_4e8a8b5852a5,LegitimateInterestProcessing
OWLClass_e7e707fc_dc05_4f59_973d_771a0e393117,LegalObligation
OWLClass_ea967b60_4d4f_41e0_97fe_8d7dd514619c,ChildData
OWLClass_eba91113_47e1_4806_8b83_bd8ba94c2002,DataTransfer
OWLClass_eccd3a99_0368_4293_a3d1_e344dc5bd0a1,Fairness
OWLClass_ed8bdd2f_f171_49c2_9386_576fe410d791,PersonalData
OWLClass_efdc2be7_211a_4933_bdef_2fed334f2858,BreachNotification
OWLClass_f0877852_cd4f_4338_bd33_7a11b7f3677d,PublicInterest
OWLClass_f234596c_9040_4f87_bd51_49ec017fd3d5,SensitiveData
OWLClass_f9140510_7d3e_441d_a8cf_a67da4fb19c4,AutomatedProcessing
OWLClass_f91e368a_9e61_4616_85d2_d24ff9c08ab2,LawfulProcessing
OWLClass_f993be7a_344f_4fee_9a35_75f1e3b367c5,LegalJustification
OWLClass_fa3d54a9_5ad4_4240_b021_815d980dcda6,RightToPortability
OWLClass_fccddccc_e1c5_425a_9e67_99ea9c2dfa55,SpecialConsent
OWLClass_fdf49ad5_3967_4c7f_b6dc_e8de56c976b2,Accuracy
OWLNamedIndividual_2f06aa66_4ab7_41c6_9b94_c2cb13e9691f,ReligionData
OWLNamedIndividual_3b3179d7_ab20_45eb_842b_39318f5149a1,EUTransfer
OWLNamedIndividual_55e57984_3d3c_4ba0_8321_6c74aaf17d36,TradeUnionData
OWLNamedIndividual_6ae3b678_a2b2_4193_8f9a_2ccf21a4c8a4,EURecipient
OWLNamedIndividual_80f23d4a_5825_4858_af79_1c67c5289684,RacialData
OWLNamedIndividual_8c8d297c_3ff0_46f8_a478_d30c921d18b7,NonEURecipient
OWLNamedIndividual_8de904ed_c312_4b94_8936_21ff4dc59afc,SexualData
OWLNamedIndividual_9383a976_2f15_4a41_8d61_e43b5694658f,ECHRLawfulness
OWLNamedIndividual_9acbc5cb_d89e_4fff_8f42_8992774fd62e,NonEUTransfer
OWLNamedIndividual_a91304fc_bb35_41cd_a8f0_8cf07c096e4a,HealthcareData
OWLNamedIndividual_ad6121f2_bdc0_4ea7_a67e_372f70b08f9a,BeliefData
OWLNamedIndividual_d54a634e_1259_4078_928b_3a630491f3c3,CharterLawfulness
OWLNamedIndividual_e572ffb6_feda_492a_83c1_2ab982d3af11,GeneticData
OWLNamedIndividual_f39efa62_7202_46d8_9736_7be3966f2ee4,PoliticalData
OWLNamedIndividual_f7438c24_0ad0_44ee_a402_760d6d3aaa99,CriminalData
OWLNamedIndividual_f7d3f3e2_c07d_4ef0_a56b_a99a5af25e6b,BiometricData
